bill_id,session,full_number,synopsis,reason
2012-A1005,2012,A1005,Temporarily renames NJ Advisory Council on Traumatic Brain Injury as NJ Advisory Council on Traumatic and Acquired Brain Injury; establishes Acquired Brain Injury Fund.,no include pattern matched
2012-A1792,2012,A1792,"Renames quail management area within Greenwood Forest Wildlife Management Area as ""Dr. A. Hunter Wilcox Field Trial Grounds.""",no include pattern matched
2012-A3104,2012,A3104,Reorganizes and renames DHSS as Department of Health; establishes Division of Aging Services in DHS.,excluded: renames_authority (administrative body rename)
2012-A3360,2012,A3360,Creates Veterans Haven North Council; renames current Veterans Haven Council to Veterans Haven South Council.,no include pattern matched
2012-S786,2012,S786,Temporarily renames NJ Advisory Council on Traumatic Brain Injury as NJ Advisory Council on Traumatic and Acquired Brain Injury; establishes Acquired Brain Injury Fund.,no include pattern matched
2012-S1405,2012,S1405,"Renames the ""Crime Victim's Bill of Rights"" act the ""Alex DeCroce Crime Victim's Bill of Rights"" act.",no include pattern matched
2012-S2072,2012,S2072,Reorganizes and renames DHSS as Department of Health; establishes Division of Aging Services in DHS.,excluded: renames_authority (administrative body rename)
2012-S2254,2012,S2254,Creates Veterans Haven North Council; renames current Veterans Haven Council to Veterans Haven South Council.,no include pattern matched
2014-A432,2014,A432,Designates New Jersey Commuter Pass Credit Act; provides for temporary gross income tax credit for certain commuting passes.,no include pattern matched
2014-A548,2014,A548,Designates bison as agricultural livestock.,no include pattern matched
2014-A1552,2014,A1552,"Directs State acquisition of Troy Meadows Natural Area, Morris County, for recreation and conservation purposes and designates it as natural area and wildlife sanctuary.",no include pattern matched
2014-A3261,2014,A3261,"Designates Dept. of Agriculture as sole agency to administer ""Seniors Farmers' Market Nutrition Program.""",no include pattern matched
2014-A3373,2014,A3373,Designates cheerleading as interscholastic sport; requires safety harness at health clubs with members who are cheerleaders.,no include pattern matched
2014-A3973,2014,A3973,"Designates Atlantic City and Pleasantville, Atlantic County, as areas eligible for redemption of pinelands development credits.",no include pattern matched
2014-A4563,2014,A4563,Designates striped bass (Morone saxatilis) as New Jersey saltwater fish.,no include pattern matched
2014-A4737,2014,A4737,Designates Killed in Action flag as an official State flag; mandates it be displayed at certain public buildings.,no include pattern matched
2014-S410,2014,S410,"Directs State acquisition of Troy Meadows Natural Area, Morris County, for recreation and conservation purposes and designates it as natural area and wildlife sanctuary.",no include pattern matched
2014-S2275,2014,S2275,Designates cheerleading as interscholastic sport; requires safety harness at health clubs with members who are cheerleaders.,no include pattern matched
2014-S3192,2014,S3192,Designates striped bass (Morone saxatilis) as New Jersey saltwater fish.,no include pattern matched
2014-S3304,2014,S3304,Designates Killed in Action flag as an official State flag; mandates it be displayed at certain public buildings.,no include pattern matched
2014-A383,2014,A383,Creates Veterans Haven North Council; renames current Veterans Haven Council to Veterans Haven South Council.,no include pattern matched
2014-A3613,2014,A3613,"Renames ""county vocational school districts"" as ""county career academies.""",no include pattern matched
2014-AR121,2014,AR121,"Renames ""Tourism and Gaming Committee"" as ""Tourism, Gaming and the Arts Committee.""",no include pattern matched
2016-ACR229,2016,ACR229,Commemorates NJ Division of Fish and Wildlife for 125 years of fish and wildlife conservation.,no include pattern matched
2016-AR142,2016,AR142,Commemorates and expresses approval of enactment of legislation by President and Congress adding Zika Virus Disease Priority Review Voucher Program.*,no include pattern matched
2016-SCR145,2016,SCR145,Commemorates NJ Division of Fish and Wildlife for 125 years of fish and wildlife conservation.,no include pattern matched
2016-A272,2016,A272,"Directs State acquisition of Troy Meadows Natural Area, Morris County, for recreation and conservation purposes and designates it as natural area and wildlife sanctuary.",no include pattern matched
2016-A701,2016,A701,Designates bison as agricultural livestock.,no include pattern matched
2016-A1005,2016,A1005,Designates New Jersey Commuter Pass Credit Act; provides for temporary gross income tax credit for certain commuting passes.,no include pattern matched
2016-A2326,2016,A2326,Designates cheerleading as interscholastic sport; requires safety harness at health clubs with members who are cheerleaders.,no include pattern matched
2016-A3165,2016,A3165,"Designates Dept. of Agriculture as sole agency to administer ""Seniors Farmers' Market Nutrition Program.""",no include pattern matched
2016-A3225,2016,A3225,Designates Killed in Action flag as an official State flag; mandates it be displayed at certain public buildings.,no include pattern matched
2016-AJR123,2016,AJR123,"Designates days of recognition for Rosh Hashanah, Yom Kippur, and Passover.",no include pattern matched
2016-AJR161,2016,AJR161,Designates Lake Hopatcong Racing Association as New Jersey Governor's Cup Hydrofest Series.,no include pattern matched
2016-S105,2016,S105,"Directs State acquisition of Troy Meadows Natural Area, Morris County, for recreation and conservation purposes and designates it as natural area and wildlife sanctuary.",no include pattern matched
2016-S1497,2016,S1497,Designates Killed in Action flag as an official State flag; mandates it be displayed at certain public buildings.,no include pattern matched
2016-S2121,2016,S2121,"Designates Dept. of Agriculture as sole agency to administer ""Seniors Farmers' Market Nutrition Program.""",no include pattern matched
2016-SJR88,2016,SJR88,"Designates days of recognition for Rosh Hashanah, Yom Kippur, and Passover.",no include pattern matched
2016-SJR110,2016,SJR110,Designates Lake Hopatcong Racing Association as New Jersey Governor's Cup Hydrofest Series.,no include pattern matched
2016-A10,2016,A10,"Revises ""New Jersey Transportation Trust Fund Authority Act""; establishes State Transportation Infrastructure Bank within NJ Environmental Infrastructure Trust; renames NJ Environmental Infrastructure Trust.",no include pattern matched
